12524.89,255.61
12269.28,255.61
12013.67,255.61
11758.06,255.61
11502.45,255.61
11246.84,255.61
10991.23,255.61
10735.62,255.61
10480.01,255.61
10224.4,255.61
9968.78,255.61
9713.17,255.61
9457.56,255.61
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9457.56,5.1122000000000005
9201.94,255.61
8946.33,255.61
8690.71,255.61
8435.09,255.61
8179.48,255.61
7923.87,255.61
7668.26,255.61
7412.65,255.61
7157.04,255.61
6901.43,255.61
6645.82,255.61
6390.21,255.61
6134.6,255.61
5878.99,255.61
5623.38,255.61
5367.77,255.61
5112.16,255.61
4856.55,255.61
4600.94,255.61
4345.33,255.61
4089.72,255.61
3834.1,255.61
3578.49,255.61
3322.87,255.61
3067.26,255.61
2811.65,255.61
